student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score,exam_grade
S080,3.7,7.0,88.3,84,34.2,C
S081,7.2,7.6,69.0,48,30.8,D
S082,3.9,5.0,50.3,80,32.4,C
S083,7.4,7.2,67.6,95,39.8,B
S084,10.9,5.3,87.7,88,48.9,A
S085,5.4,6.4,92.7,71,38.0,C
S086,3.4,8.5,97.7,46,26.5,D
S087,12.0,8.2,71.0,95,51.3,A
S088,6.6,4.5,87.4,40,28.6,D
S089,2.0,6.1,77.3,76,32.1,C
S090,1.5,5.4,80.2,58,23.9,D
S091,2.2,4.0,61.0,70,27.3,D
S092,7.9,7.9,61.0,70,34.0,C
S093,9.7,7.2,71.8,68,37.5,C
S094,5.6,5.3,51.5,61,29.1,D
S095,1.7,7.7,66.8,51,28.1,D
S096,5.2,6.8,84.0,43,28.7,D
S097,12.0,6.1,70.2,56,36.9,C
S098,6.8,4.0,58.3,95,36.0,C
S099,11.7,4.4,73.4,70,39.9,B
S100,10.5,8.4,56.4,47,37.1,C
S101,1.1,8.5,81.1,92,31.4,C
S102,8.9,6.7,51.3,44,31.3,C
S103,8.5,8.2,69.7,65,35.7,C
S104,6.9,6.9,78.2,71,32.6,C
S105,3.9,4.7,51.4,44,24.1,D
S106,8.1,4.6,82.1,76,38.2,C
S107,2.2,5.5,56.8,80,23.7,D
S108,5.8,8.5,73.1,83,39.2,B
S109,6.0,8.0,52.5,43,23.2,D
S110,11.5,8.3,69.0,49,42.2,B
S111,10.6,8.5,60.6,49,39.6,B
S112,3.9,5.1,66.3,91,34.8,C
S113,6.5,5.2,88.1,76,34.6,C
S114,3.0,4.5,69.0,59,26.4,D
S115,11.0,7.9,87.6,45,43.1,B
S116,10.6,8.4,91.6,55,46.4,B
S117,4.3,6.0,62.6,47,25.2,D
S118,8.0,7.1,54.1,75,31.3,C
S119,7.7,4.8,51.0,88,35.8,C
S120,2.7,8.6,77.0,66,29.8,D
S121,9.4,8.3,100.0,78,47.9,A
S122,6.9,8.9,67.5,78,40.9,B
S123,9.6,8.1,82.5,90,44.1,B
S124,6.8,8.4,89.1,79,39.3,B
S125,1.0,4.1,82.6,54,21.2,D
S126,4.6,7.7,87.7,89,38.6,C
S127,1.2,5.7,97.5,73,26.8,D
S128,11.2,8.7,60.0,64,42.7,B
S129,10.7,8.0,51.0,68,36.1,C
S130,10.1,8.3,57.6,68,39.2,B
S131,4.4,8.1,56.3,59,32.9,C
S132,1.6,5.3,83.5,95,28.8,D
S133,10.7,7.9,78.2,77,45.7,B
S134,11.4,4.5,60.9,67,40.8,B
S135,1.9,8.4,85.0,59,30.6,D
S136,6.3,8.3,88.3,76,41.1,B
S137,1.8,5.1,58.4,79,29.0,D
S138,9.4,8.1,80.4,43,35.1,C
S139,9.4,6.3,87.4,79,39.9,B
S140,2.4,5.5,55.7,87,29.9,D
S141,6.2,8.0,91.0,46,35.0,C
S142,7.0,5.1,98.2,88,43.3,B
S143,3.9,4.1,55.4,53,19.0,E
S144,10.6,5.0,51.3,80,35.1,C
S145,5.7,5.6,65.6,53,29.9,D
S146,3.3,8.3,83.9,56,33.0,C
S147,6.9,8.8,97.9,82,45.8,B
S148,9.0,5.4,69.8,45,35.5,C
S149,3.2,7.2,85.8,50,26.4,D
S150,4.4,6.0,53.8,55,21.9,D
S151,11.9,8.9,84.5,51,44.1,B
S152,8.1,6.7,81.4,75,42.3,B
S153,5.8,8.7,55.1,44,27.7,D
S154,6.7,4.6,88.6,50,33.4,C
S155,2.3,8.9,92.5,40,29.7,D
S156,3.5,4.9,80.0,66,23.6,D
S157,4.7,8.8,56.1,68,33.6,C
S158,7.5,5.3,99.2,84,37.9,C
S159,3.5,4.5,89.1,78,29.5,D
S160,3.4,6.2,67.4,70,24.7,D
S161,1.8,7.6,71.4,58,25.2,D
S162,7.9,5.6,68.5,42,31.4,C
S163,3.5,7.0,75.3,54,30.0,D
S164,11.0,6.6,67.1,58,35.8,C
S165,10.5,5.9,92.5,85,40.6,B
S166,1.8,6.9,91.1,58,30.1,D
S167,3.6,5.3,55.3,84,30.3,D
S168,8.4,7.5,98.0,95,42.0,B
S169,3.4,4.0,81.8,69,32.1,C
S170,2.5,8.6,91.4,44,22.8,D
S171,11.3,6.7,85.4,83,45.3,B
S172,7.3,7.6,71.8,54,31.0,D
S173,6.2,7.7,86.7,56,31.0,D
S174,9.6,7.4,98.3,90,40.9,B
S175,9.9,5.8,63.5,90,44.8,B
S176,3.1,4.3,90.4,80,34.4,C
S177,2.1,7.3,76.9,77,30.7,D
S178,5.7,5.7,74.2,82,31.0,D
S179,5.7,5.6,71.8,91,35.0,C
S180,6.1,8.2,86.6,52,31.4,C
S181,9.0,7.6,63.4,67,38.4,C
S182,8.4,5.5,92.6,47,36.1,C
S183,11.8,5.5,91.5,74,44.1,B
S184,2.1,6.0,54.3,54,19.4,E
S185,5.4,6.0,94.1,81,39.4,B
S186,4.7,5.5,62.2,49,22.9,D
S187,10.5,4.6,73.2,57,36.2,C
S188,3.7,6.1,80.5,92,33.4,C
S189,3.1,8.7,68.9,49,23.4,D
S190,5.9,7.4,51.4,44,28.0,D
S191,5.6,8.5,92.5,43,32.2,C
S192,4.1,7.1,59.1,50,30.7,D
S193,3.7,5.5,60.6,90,28.8,D
S194,11.2,6.7,89.9,59,46.7,B
S195,5.9,4.0,67.0,78,33.8,C
S196,10.5,5.4,94.0,87,42.7,B
S197,7.1,6.1,85.1,92,40.4,B
S198,1.6,6.9,63.8,76,28.2,D
S199,12.0,7.3,50.5,58,42.0,B
S200,10.2,6.3,97.4,68,37.8,C
